node	pagerank
2679	0.00025016
9298	0.00025015
5930	0.00025013
6524	0.00024980
4890	0.00024970
2573	0.00024935
9292	0.00024924
4991	0.00024911
6290	0.00024907
9558	0.00024900
8149	0.00024889
5601	0.00024877
5126	0.00024874
3120	0.00024867
8212	0.00024867
9146	0.00024865
5264	0.00024859
2755	0.00024856
8691	0.00024839
9750	0.00024817
7880	0.00024814
5862	0.00024787
2076	0.00024755
6275	0.00024739
5104	0.00024725
8813	0.00024721
9008	0.00024714
8120	0.00024692
485	0.00024683
3308	0.00024662
1160	0.00024648
9370	0.00024631
7122	0.00024617
794	0.00024609
4706	0.00024607
9045	0.00024605
9762	0.00024605
4135	0.00024604
1108	0.00024602
2254	0.00024563
4655	0.00024554
8197	0.00024553
8078	0.00024548
8510	0.00024536
6453	0.00024531
4508	0.00024524
9607	0.00024524
6035	0.00024520
7859	0.00024472
9617	0.00024472
2773	0.00024468
1009	0.00024459
6274	0.00024448
7568	0.00024441
7088	0.00024432
966	0.00024396
8594	0.00024363
6904	0.00024351
9957	0.00024299
6187	0.00024290
2324	0.00024289
9012	0.00024285
6220	0.00024279
9017	0.00024229
5655	0.00024220
5231	0.00024201
8973	0.00024196
1320	0.00024193
7646	0.00024186
1734	0.00024170
911	0.00024141
5241	0.00024127
9613	0.00024121
5804	0.00024113
7685	0.00024108
9912	0.00024106
6001	0.00024103
6173	0.00024087
1106	0.00024081
6862	0.00024068
4099	0.00024048
8453	0.00024043
7726	0.00024034
9663	0.00024015
5277	0.00023979
1335	0.00023971
9236	0.00023968
9081	0.00023942
154	0.00023910
7286	0.00023886
5803	0.00023884
9761	0.00023874
5535	0.00023866
4106	0.00023854
7665	0.00023846
6018	0.00023838
1404	0.00023837
4719	0.00023783
8082	0.00023728
9813	0.00023719
4700	0.00023703
8173	0.00023683
9043	0.00023683
1824	0.00023682
2246	0.00023662
3088	0.00023637
8257	0.00023625
3858	0.00023622
43	0.00023620
126	0.00023612
1415	0.00023609
3115	0.00023607
6449	0.00023595
7940	0.00023588
7779	0.00023586
8938	0.00023559
9886	0.00023559
848	0.00023545
885	0.00023536
9543	0.00023534
9287	0.00023533
3986	0.00023526
4844	0.00023521
9182	0.00023512
1531	0.00023502
1121	0.00023491
436	0.00023489
6473	0.00023441
3438	0.00023379
4930	0.00023375
3948	0.00023361
1591	0.00023334
4155	0.00023334
3621	0.00023328
7941	0.00023316
8025	0.00023305
9875	0.00023301
9648	0.00023295
595	0.00023294
9700	0.00023289
7215	0.00023248
5119	0.00023234
2626	0.00023231
5829	0.00023151
1747	0.00023139
7651	0.00023139
2293	0.00023120
7230	0.00023109
4729	0.00023091
3394	0.00023054
717	0.00023018
7350	0.00023012
4525	0.00022994
2750	0.00022980
9400	0.00022980
7384	0.00022966
6897	0.00022933
3882	0.00022912
3817	0.00022892
7087	0.00022890
132	0.00022880
8467	0.00022875
602	0.00022867
9267	0.00022853
9345	0.00022847
9981	0.00022846
7149	0.00022840
4456	0.00022833
8108	0.00022829
6899	0.00022808
6595	0.00022805
4734	0.00022796
9523	0.00022793
6154	0.00022788
6079	0.00022783
7794	0.00022775
9075	0.00022753
6916	0.00022716
4708	0.00022713
5026	0.00022698
9796	0.00022691
6943	0.00022685
8345	0.00022682
9340	0.00022651
7886	0.00022643
6951	0.00022609
9642	0.00022605
5820	0.00022598
9719	0.00022593
6775	0.00022570
4806	0.00022562
7843	0.00022552
8645	0.00022552
7863	0.00022522
9788	0.00022521
7981	0.00022511
7095	0.00022507
9636	0.00022503
2091	0.00022500
6922	0.00022486
9005	0.00022466
138	0.00022464
7156	0.00022447
9496	0.00022443
9949	0.00022443
7733	0.00022441
9895	0.00022440
6576	0.00022430
5419	0.00022418
5892	0.00022417
3470	0.00022395
3263	0.00022383
1845	0.00022371
7390	0.00022371
9758	0.00022331
7611	0.00022330
